seq,name,region,species,confidence,hmpg_id
3,잣향기 푸른숲,경기도,잣나무,자동,
23,장흥편백 치유의 숲,전라도,편백,자동,
26,팔영산편백치유의숲,전라도,편백,자동,
34,창원편백 치유의 숲,경상도,편백,자동,
1,산음 치유의숲,경기도,기타활엽수,잠정,0103
2,국립양평치유의숲,경기도,기타활엽수,잠정,
4,하늘아래 치유의숲,경기도,기타활엽수,잠정,
5,용문산 치유의숲,경기도,기타활엽수,잠정,
6,청태산 치유의숲,강원도,기타활엽수,잠정,
7,대관령치유의숲,강원도,기타활엽수,잠정,
8,망경대산 치유의숲,강원도,기타활엽수,잠정,
9,삼척활기 치유의 숲,강원도,기타활엽수,잠정,
10,힐리언스선마을,강원도,기타활엽수,잠정,
11,로미지안 치유의 숲,강원도,기타활엽수,잠정,
12,예산치유의숲,충청도,기타활엽수,잠정,
13,제천치유의숲,충청도,기타활엽수,잠정,
14,대전 치유의 숲,충청도,기타활엽수,잠정,
15,계명산치유의숲,충청도,기타활엽수,잠정,
16,민주지산치유의숲,충청도,기타활엽수,잠정,
17,장령산치유의숲,충청도,기타활엽수,잠정,
18,생거진천 치유의 숲,충청도,기타활엽수,잠정,
19,성불산 치유의 숲,충청도,기타활엽수,잠정,
20,서천 치유의 숲,충청도,기타활엽수,잠정,
21,장성 치유의 숲,전라도,기타활엽수,잠정,
22,곡성치유의숲,전라도,기타활엽수,잠정,
24,만연산치유의숲,전라도,기타활엽수,잠정,
25,빛가람치유의숲,전라도,기타활엽수,잠정,
27,백운산치유의숲,전라도,기타활엽수,잠정,
28,흑석산 치유의 숲,전라도,기타활엽수,잠정,
29,대운산치유의숲,경상도,기타활엽수,잠정,
30,김천치유의숲,경상도,기타활엽수,잠정,
31,부산치유의숲,경상도,기타활엽수,잠정,
32,비슬산치유의숲,경상도,기타활엽수,잠정,
33,내연산 치유의 숲,경상도,기타활엽수,잠정,
35,오도산치유의숲,경상도,기타활엽수,잠정,
36,대봉산 치유의 숲,경상도,기타활엽수,잠정,
37,거창 치유의 숲,경상도,기타활엽수,잠정,
38,서귀포 치유의 숲,제주도,기타활엽수,잠정,
